variant,archetype,seed,reward_mean,ctr,sends_per_episode,optout_rate,train_seconds,note
high_floor,OfficeWorker,0,-1.2646677893108476,0.2774133083411434,10.67,0.0,192.0,never stop exploring: epsilon floor raised 0.05 -> 0.20
high_floor,OfficeWorker,1,0.0,0.0,0.0,0.0,163.1,never stop exploring: epsilon floor raised 0.05 -> 0.20
high_floor,OfficeWorker,2,-0.01699981178911485,0.0,0.005,0.0,186.3,never stop exploring: epsilon floor raised 0.05 -> 0.20
optimistic_send,OfficeWorker,0,0.0,0.0,0.0,0.0,255.2,"Q-head bias +5 on the two send actions only, so ties break towards trying a send rather than towards silence"
optimistic_send,OfficeWorker,1,0.0,0.0,0.0,0.0,281.8,"Q-head bias +5 on the two send actions only, so ties break towards trying a send rather than towards silence"
optimistic_send,OfficeWorker,2,0.0,0.0,0.0,0.0,259.2,"Q-head bias +5 on the two send actions only, so ties break towards trying a send rather than towards silence"
slow_decay,OfficeWorker,0,0.16713084989404783,0.3090909090909091,2.2,0.0,101.9,explore for 3x longer before committing
slow_decay,OfficeWorker,1,-10.119651219051732,0.2407837071410157,19.395,0.0,102.2,explore for 3x longer before committing
slow_decay,OfficeWorker,2,-1.135267205509359,0.25874125874125875,2.86,0.0,102.5,explore for 3x longer before committing
warm_start,OfficeWorker,0,0.0,0.0,0.0,0.0,261.0,"replay buffer seeded with 40 episodes of Fixed-18:00 behaviour before training, so the agent has seen a competent sending policy rather than only random ones"
warm_start,OfficeWorker,1,0.0,0.0,0.0,0.0,255.1,"replay buffer seeded with 40 episodes of Fixed-18:00 behaviour before training, so the agent has seen a competent sending policy rather than only random ones"
warm_start,OfficeWorker,2,0.0,0.0,0.0,0.0,288.5,"replay buffer seeded with 40 episodes of Fixed-18:00 behaviour before training, so the agent has seen a competent sending policy rather than only random ones"
